PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,NUMTRD,Ticker
10107,2/7/2019,104.29,105.59,105.27,29734656,105.31,105.32,196921,
10107,2/8/2019,104.2603,105.78,105.67,21450093,105.75,105.76,136995,
10107,2/11/2019,104.965,106.58,105.25,18909663,105.27,105.28,133995,
10107,2/12/2019,105.48,107.14,106.89,25033340,106.88,106.88,160306,
10107,2/13/2019,106.71,107.78,106.81,18392169,106.78,106.79,126253,
10107,2/14/2019,105.66,107.29,106.9,21786673,106.87,106.88,143100,
10107,2/15/2019,107.3624,108.3,108.22,26597090,108.2,108.21,157497,
10107,2/19/2019,107.78,108.66,108.17,18019764,108.23,108.24,122457,
10107,2/20/2019,106.29,107.94,107.15,21600619,107.19,107.2,144251,
10107,2/21/2019,106.87,109.48,109.41,29051931,109.43,109.45,200098,
10107,2/22/2019,109.82,111.2,110.97,27755128,110.96,110.97,184492,
10107,2/25/2019,111.26,112.18,111.59,23747399,111.59,111.6,156824,
10107,2/26/2019,111.17,113.24,112.36,21530217,112.36,112.37,149082,
10107,2/27/2019,110.88,112.36,112.17,21469722,112.18,112.19,128118,
10107,2/28/2019,111.73,112.88,112.03,29070634,112.05,112.06,138071,
10107,3/1/2019,111.665,113.02,112.53,23494469,112.51,112.52,134754,
10107,3/4/2019,110.8,113.25,112.26,26602759,112.28,112.29,173601,
10107,3/5/2019,111.23,112.39,111.7,19537018,111.67,111.68,119425,
10107,3/6/2019,111.43,112.66,111.75,17680096,111.74,111.75,130682,
10107,3/7/2019,109.865,111.55,110.39,25431238,110.37,110.39,167497,
10107,3/8/2019,108.8,110.71,110.51,22817031,110.51,110.52,160402,
10107,3/11/2019,110.98,112.95,112.83,26480123,112.82,112.83,159314,
10107,3/12/2019,112.6499,113.99,113.62,26219725,113.64,113.65,162056,
10107,3/13/2019,113.78,115,114.5,35504271,114.5,114.51,167373,
10107,3/14/2019,114.33,115.2,114.59,30747567,114.57,114.58,142812,
10107,3/15/2019,114.59,117.25,115.91,54659975,115.89,115.91,211227,
10107,3/18/2019,116.05,117.61,117.57,31198896,117.58,117.59,165126,
10107,3/19/2019,116.99,118.44,117.65,37585722,117.68,117.71,192201,
10107,3/20/2019,116.71,118.75,117.52,28108943,117.51,117.52,179275,
10107,3/21/2019,117.09,120.82,120.22,29849246,120.63,120.64,178406,
10107,3/22/2019,117.04,119.59,117.05,33822376,117.05,117.06,218241,
10107,3/25/2019,116.3224,118.01,117.66,27062241,117.63,117.66,193553,
10107,3/26/2019,116.85,118.705,117.91,26094665,117.92,117.93,188591,
10107,3/27/2019,115.5215,118.21,116.77,22728727,116.77,116.78,166731,
10107,3/28/2019,116.13,117.58,116.93,18333555,116.93,116.94,134683,
10107,3/29/2019,116.96,118.32,117.94,25387852,117.94,117.95,137446,
10107,4/1/2019,118.1,119.1085,119.02,22802687,119.01,119.04,141858,
10107,4/2/2019,118.52,119.48,119.19,18138297,119.19,119.19,115197,
10107,4/3/2019,119.15,120.43,119.97,22857044,119.96,119.97,147486,
10107,4/4/2019,118.38,120.23,119.36,20107448,119.33,119.34,145648,
10107,4/5/2019,119.37,120.23,119.89,15811745,119.88,119.89,104441,
10107,4/8/2019,118.64,120.02,119.93,15111375,119.89,119.91,105917,
10107,4/9/2019,118.58,119.54,119.28,17606600,119.29,119.32,120264,
10107,4/10/2019,119.54,120.35,120.19,16474569,120.22,120.23,112752,
10107,4/11/2019,119.92,120.85,120.33,14204789,120.32,120.33,114131,
10107,4/12/2019,120.37,120.98,120.95,19739411,120.95,120.98,125911,
10107,4/15/2019,120.57,121.58,121.05,15787138,121.05,121.06,113917,
10107,4/16/2019,120.1,121.65,120.77,14069587,120.78,120.79,113502,
10107,4/17/2019,120.54,121.85,121.77,19294080,121.74,121.75,139225,
10107,4/18/2019,121.3018,123.52,123.37,28036227,123.36,123.38,165160,
10107,4/22/2019,122.57,124,123.76,15641144,123.74,123.76,110852,
10107,4/23/2019,123.83,125.58,125.44,24018821,125.43,125.45,169570,
10107,4/24/2019,124.52,125.85,125.01,31246730,125.07,125.1,200022,
10107,4/25/2019,128.83,131.37,129.14999,38033668,129.07001,129.08,265207,
10107,4/26/2019,129.02,130.5152,129.89,23651801,129.88,129.89,161424,
10107,4/29/2019,129.35001,130.17999,129.77,16279958,129.74001,129.77,120063,
10107,4/30/2019,129.3947,130.7,130.60001,24156237,130.58,130.59,158835,
10107,5/1/2019,127.7,130.64999,127.88,26797227,127.86,127.88,177195,
10107,5/2/2019,125.52,128,126.21,27345142,126.2,126.21,216966,
10107,5/3/2019,127.25,129.42999,128.89999,24886126,128.88,128.89,162772,
10107,5/6/2019,126.11,128.56,128.14999,24236372,128.14999,128.17999,188083,
10107,5/7/2019,124.22,127.18,125.52,36016178,125.56,125.59,284238,
10107,5/8/2019,124.75,126.37,125.51,28416197,125.44,125.45,195659,
10107,5/9/2019,123.57,125.79,125.5,27234632,125.5,125.51,212667,
10107,5/10/2019,123.82,127.93,127.13,30908084,127.19,127.2,247099,
10107,5/13/2019,123.04,125.55,123.35,33923763,123.3,123.31,288269,
10107,5/14/2019,123.7,125.88,124.73,25258715,124.72,124.73,193406,
10107,5/15/2019,123.7,126.71,126.02,24714908,126.02,126.06,189073,
10107,5/16/2019,126.46,129.38,128.92999,30105216,128.95,128.96001,215482,
10107,5/17/2019,127.92,130.46001,128.07001,25746046,128.05,128.07001,189760,
10107,5/20/2019,125.7607,127.5894,126.22,23702634,126.19,126.2,163383,
10107,5/21/2019,126.58,127.5273,126.9,15284160,126.89,126.9,116823,
10107,5/22/2019,126.52,128.24001,127.67,15388185,127.65,127.67,119970,
10107,5/23/2019,124.74,126.29,126.18,23599410,126.18,126.19,188426,
10107,5/24/2019,125.97,127.415,126.24,14099858,126.2,126.23,115997,
10107,5/28/2019,126.05,128,126.16,23110628,126.05,126.1,146497,
10107,5/29/2019,124.04,125.39,124.94,23004131,124.94,124.98,173940,
10107,5/30/2019,124.78,125.76,125.73,16819895,125.72,125.74,135403,
10107,5/31/2019,123.32,124.615,123.68,26634469,123.58,123.62,177545,
10107,6/3/2019,119.01,124.37,119.84,37938837,119.86,119.88,318788,
10107,6/4/2019,120.6522,123.28,123.16,29353642,123.16,123.2,226088,
10107,6/5/2019,124.21,125.87,125.83,24882340,125.83,125.84,187233,
10107,6/6/2019,125.6,127.97,127.82,21435414,127.89,127.9,154476,
10107,6/7/2019,128.25999,132.25,131.39999,33785188,131.39999,131.42,241818,
10107,6/10/2019,132,134.08,132.60001,26462498,132.57001,132.60001,205842,
10107,6/11/2019,131.2757,134.24001,132.10001,23891429,132.08,132.10001,164533,
10107,6/12/2019,130.71001,131.97,131.49001,17069064,131.48,131.49001,137853,
10107,6/13/2019,131.56,132.67,132.32001,17185925,132.31,132.32001,131322,
10107,6/14/2019,131.64,133.78999,132.45,17812028,132.44,132.45,126331,
10107,6/17/2019,132.53,133.73,132.85001,14501985,132.88,132.89,108037,
10107,6/18/2019,133.57001,135.24001,135.16,25935262,135.17999,135.19,210897,
10107,6/19/2019,133.81,135.92999,135.69,23731841,135.59,135.60001,166697,
10107,6/20/2019,135.72,137.66,136.95,33026298,136.88,136.92,202141,
10107,6/21/2019,136.46001,137.73,136.97,36702792,136.94,136.96001,177797,
10107,6/24/2019,137,138.39999,137.78,20613941,137.78999,137.8,137531,
10107,6/25/2019,132.73,137.59,133.42999,33293121,133.42999,133.44,262245,
10107,6/26/2019,133.60001,135.74001,133.92999,23622645,133.89999,133.92999,167109,
